change_2021_22,country,major_area,region
-79.41,Afghanistan,Asia,Southern Asia
-71.88,Ethiopia,Africa,Eastern Africa
-71.48,Syria,Asia,Western Asia
-68.89,Liberia,Africa,Western Africa
-60.24,Lebanon,Asia,Western Asia
-59.15,Maldives,Asia,Southern Asia
-59.10,Cameroon,Africa,Middle Africa
-57.65,Namibia,Africa,Southern Africa
-54.31,Zimbabwe,Africa,Eastern Africa
-54.29,Yemen,Asia,Western Asia
-53.98,Latvia,Europe,Northern Europe
-53.41,Djibouti,Africa,Eastern Africa
-53.07,Iran,Asia,Southern Asia
-51.45,Turkmenistan,Asia,Central Asia
-51.24,Libya,Africa,Northern Africa
-51.10,Slovakia,Europe,Eastern Europe
-50.75,Swaziland,Africa,Southern Africa
-50.37,Ghana,Africa,Western Africa
-50.29,Venezuela,Latin America and the Caribbean,South America
-49.85,Hungary,Europe,Eastern Europe
-49.65,South Korea,Asia,Eastern Asia
-49.05,Somalia,Africa,Eastern Africa
-49.00,Sudan,Africa,Northern Africa
-48.90,Vanuatu,Oceania,Melanesia
-48.62,Rwanda,Africa,Eastern Africa
-48.42,Kenya,Africa,Eastern Africa
-48.32,Equatorial Guinea,Africa,Middle Africa
-48.27,Italy,Europe,Southern Europe
-47.96,San Marino,Europe,Southern Europe
-47.84,Burundi,Africa,Eastern Africa
-47.83,Monaco,Europe,Western Europe
-47.81,France,Europe,Western Europe
-46.68,Bosnia and Herzegovina,Europe,Southern Europe
-46.56,Nigeria,Africa,Western Africa
-46.53,Dominican Republic,Latin America and the Caribbean,Caribbean
-46.28,Madagascar,Africa,Eastern Africa
-46.17,Luxembourg,Europe,Western Europe
-44.97,Bhutan,Asia,Southern Asia
-44.70,Switzerland,Europe,Western Europe
-44.51,Cuba,Latin America and the Caribbean,Caribbean
-44.20,Czechia,Europe,Eastern Europe
-43.84,Croatia,Europe,Southern Europe
-43.41,Romania,Europe,Eastern Europe
-43.13,Liechtenstein,Europe,Western Europe
-42.57,Germany,Europe,Western Europe
-42.46,Morocco,Africa,Northern Africa
-42.35,Israel,Asia,Western Asia
-41.65,Papua New Guinea,Oceania,Melanesia
-41.33,Gambia,Africa,Western Africa
-41.23,Western Sahara,Oceania,Melanesia
-41.15,Sweden,Europe,Northern Europe
-40.82,Andorra,Europe,Southern Europe
-40.66,Cape Verde,Africa,Western Africa
-40.61,Laos,Asia,South-Eastern Asia
-40.31,Senegal,Africa,Western Africa
-39.96,Ireland,Europe,Northern Europe
-39.21,Iraq,Asia,Western Asia
-38.51,Malta,Europe,Southern Europe
-38.51,Australia,Oceania,Australia and New Zealand
-38.16,Micronesia,Oceania,Micronesia
-38.12,Poland,Europe,Eastern Europe
-38.00,Estonia,Europe,Northern Europe
-37.98,Tanzania,Africa,Eastern Africa
-37.68,Slovenia,Europe,Southern Europe
-37.57,Norway,Europe,Northern Europe
-37.40,Kazakhstan,Asia,Central Asia
-36.67,Canada,Northern America,Northern America
-35.71,Lithuania,Europe,Northern Europe
-35.35,Malawi,Africa,Eastern Africa
-34.83,United Arab Emirates,Asia,Western Asia
-34.54,Bahrain,Asia,Western Asia
