change_2021_22,country,major_area,region
-34.52,Zambia,Africa,Eastern Africa
-34.30,Fiji,Oceania,Melanesia
-34.28,Mozambique,Africa,Eastern Africa
-34.19,Netherlands,Europe,Western Europe
-33.76,Lesotho,Africa,Southern Africa
-33.72,Cyprus,Asia,Western Asia
-33.34,Serbia,Europe,Southern Europe
-33.09,Austria,Europe,Western Europe
-32.66,Botswana,Africa,Southern Africa
-32.63,South Africa,Africa,Southern Africa
-31.53,Uganda,Africa,Eastern Africa
-31.34,Belgium,Europe,Western Europe
-31.27,Portugal,Europe,Southern Europe
-30.87,United Kingdom,Europe,Northern Europe
-29.79,Spain,Europe,Southern Europe
-29.71,North Macedonia,Europe,Southern Europe
-29.69,Finland,Europe,Northern Europe
-29.41,Hong Kong (SAR),Asia,Eastern Asia
-27.79,Denmark,Europe,Northern Europe
-27.73,Bulgaria,Europe,Eastern Europe
-27.48,Türkiye,Asia,Western Asia
-26.89,Japan,Asia,Eastern Asia
-26.27,Barbados,Latin America and the Caribbean,Caribbean
-25.50,Bahamas,Latin America and the Caribbean,Caribbean
-25.48,Belarus,Europe,Eastern Europe
-25.13,Ukraine,Europe,Eastern Europe
-25.03,Sri Lanka,Asia,Southern Asia
-24.85,Moldova,Europe,Eastern Europe
-24.73,Kosovo,Europe,Southern Europe
-24.59,Cambodia,Asia,South-Eastern Asia
-24.59,Pakistan,Asia,Southern Asia
-24.30,Taiwan,Asia,Eastern Asia
-23.98,Tunisia,Africa,Northern Africa
-23.04,Russia,Europe,Eastern Europe
-22.67,India,Asia,Southern Asia
-22.37,Suriname,Latin America and the Caribbean,South America
-20.71,Qatar,Asia,Western Asia
-19.41,Guyana,Latin America and the Caribbean,South America
-19.27,Kuwait,Asia,Western Asia
-19.27,Montenegro,Europe,Southern Europe
-18.81,Albania,Europe,Southern Europe
-18.71,New Zealand,Oceania,Australia and New Zealand
-17.92,Argentina,Latin America and the Caribbean,South America
-17.88,Panama,Latin America and the Caribbean,Central America
-17.62,Malaysia,Asia,South-Eastern Asia
-17.07,Indonesia,Asia,South-Eastern Asia
-16.48,Bolivia,Latin America and the Caribbean,South America
-16.47,Singapore,Asia,South-Eastern Asia
-15.90,United States,Northern America,Northern America
-15.70,Oman,Asia,Western Asia
-15.37,Bangladesh,Asia,Southern Asia
-14.85,Côte d'Ivoire,Africa,Western Africa
-14.63,Angola,Africa,Middle Africa
-14.59,Thailand,Asia,South-Eastern Asia
-14.56,Jordan,Asia,Western Asia
-13.77,Sierra Leone,Africa,Western Africa
-13.34,Brazil,Latin America and the Caribbean,South America
-13.18,DR Congo,Africa,Middle Africa
-12.93,Paraguay,Latin America and the Caribbean,South America
-12.66,Azerbaijan,Asia,Western Asia
-12.14,Benin,Africa,Western Africa
-11.07,Trinidad and Tobago,Latin America and the Caribbean,Caribbean
-9.21,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
-9.06,Saudi Arabia,Asia,Western Asia
-8.65,Mexico,Latin America and the Caribbean,Central America
-7.82,Greece,Europe,Southern Europe
-7.79,Macau (SAR),Asia,Eastern Asia
-7.52,Georgia,Asia,Western Asia
-7.47,China,Asia,Eastern Asia
-6.88,Peru,Latin America and the Caribbean,South America
-6.12,Tajikistan,Asia,Central Asia
-4.48,Seychelles,Africa,Eastern Africa
-3.69,Myanmar (Burma),Asia,South-Eastern Asia
-2.53,Armenia,Asia,Western Asia
-1.93,Belize,Latin America and the Caribbean,Central America
-1.44,El Salvador,Latin America and the Caribbean,Central America
0.47,Haiti,Latin America and the Caribbean,Caribbean
0.65,Mongolia,Asia,Eastern Asia
0.76,Chile,Latin America and the Caribbean,South America
0.80,Costa Rica,Latin America and the Caribbean,Central America
1.15,Kyrgyzstan,Asia,Central Asia
2.08,Jamaica,Latin America and the Caribbean,Caribbean
2.91,Grenada,Latin America and the Caribbean,Caribbean
2.95,Uzbekistan,Asia,Central Asia
3.11,Egypt,Africa,Northern Africa
5.07,Mauritius,Africa,Eastern Africa
6.61,Vietnam,Asia,South-Eastern Asia
7.14,Guatemala,Latin America and the Caribbean,Central America
7.95,Philippines,Asia,South-Eastern Asia
8.94,Algeria,Africa,Northern Africa
9.13,Honduras,Latin America and the Caribbean,Central America
13.86,Mali,Africa,Western Africa
15.08,Ecuador,Latin America and the Caribbean,South America
15.84,Congo,Africa,Middle Africa
21.86,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
23.13,Brunei,Asia,South-Eastern Asia
23.70,Colombia,Latin America and the Caribbean,South America
31.41,Mauritania,Africa,Western Africa
35.99,Nicaragua,Latin America and the Caribbean,Central America
36.89,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean
54.50,Uruguay,Latin America and the Caribbean,South America
54.87,Saint Lucia,Latin America and the Caribbean,Caribbean
55.62,Nepal,Asia,Southern Asia
56.78,Burkina Faso,Africa,Western Africa
63.61,Togo,Africa,Western Africa
96.80,Gabon,Africa,Middle Africa
102.12,Dominica,Latin America and the Caribbean,Caribbean
106.35,Palestine,Asia,Western Asia
